info: socket.io started
hey 0 [ 'hey', 'hey' ]
hey 1 [ 'hey', 'hey' ]
serialPort: [object Object]
serialPort: [object Object]
opened
opened
[ NaN, 78.28, 78.74, 77.88 ]
[ 0.41, 0.32, 8.46, 0.3 ]
[ 0, 0.35, 8.48, 0.21 ]
[ 0, 0.25, 8.52, 0.34 ]
[ 0, 0.26, 8.54, 0.21 ]
[ 0.01, 0.38, 8.51, 0.21 ]
[ 0, 0.25, 8.5, 0.35 ]
[ 0.01, 0.26, 8.5, 0.22 ]
[ 0.01, 0.38, 8.5, 0.22 ]
[ 0, 0.25, 8.53, 0.21 ]
[ 0, 0.26, 8.59, 0.35 ]
[ 0.01, 0.28, 8.54, 0.22 ]
[ 0, 0.31, 8.56, 0.22 ]
[ 0, 0.25, 8.53, 0.35 ]
[ 0, 0.26, 8.56, 0.22 ]
[ 0, 0.37, 8.59, 0.22 ]
[ 0.02, 0.25, 8.52, 0.34 ]
[ 0.01, 0.25, 8.5, 0.2 ]
[ 0.01, 0.37, 8.53, 0.22 ]
[ 0, 0.26, 8.52, 0.21 ]
[ 0, 0.36, 8.52, 0.35 ]
[ 0, 0.27, 8.48, 0.2 ]
[ 0.01, 0.47, 8.55, 0.3 ]
[ 0.01, 0.37, 8.56, 0.36 ]
[ 0.01, 0.26, 8.53, 0.22 ]
[ 0, 0.38, 8.57, 0.45 ]
[ 0.01, 0.24, 8.55, 0.43 ]
[ 0, 0.26, 8.56, 0.22 ]
[ 0.01, 0.37, 8.51, 0.2 ]
[ 0, 0.25, 8.48, 0.25 ]
[ 0.01, 0.25, 8.56, 0.27 ]
[ 0, 0.33, 8.55, 0.22 ]
[ 0.01, 0.26, 8.52, 0.21 ]
[ 0.01, 0.25, 8.49, 0.35 ]
[ 0, 0.25, 8.54, 0.19 ]
[ 0, 0.37, 8.59, 0.21 ]
[ 0.01, 0.26, 8.5, 0.36 ]
[ 0, 0.25, 8.59, 0.21 ]
[ 0.01, 0.37, 8.54, 0.21 ]
[ 0, 0.25, 8.55, 0.32 ]
[ 0, 0.25, 8.52, 0.26 ]
[ 0, 0.35, 8.51, 0.21 ]
[ 0.01, 0.27, 8.52, 0.21 ]
[ 0, 0.25, 8.54, 0.34 ]
[ 0, 0.26, 8.51, 0.21 ]
[ 0, 0.37, 8.55, 0.21 ]
[ 0, 0.24, 8.56, 0.43 ]
[ 0.01, 0.25, 8.5, 0.32 ]
[ 0.01, 0.38, 8.56, 0.31 ]
[ 0, 0.24, 8.5, 0.41 ]
[ 0, 0.25, 8.58, 0.44 ]
[ 0.02, 0.34, 8.48, 0.33 ]
[ 0.01, 0.27, 8.54, 0.33 ]
[ 0.01, 0.25, 8.54, 0.44 ]
[ 0, 0.5, 8.53, 0.33 ]
[ 0, 0.39, 8.51, 0.33 ]
[ 0.02, 0.25, 8.54, 0.44 ]
[ 0.01, 0.25, 8.42, 0.33 ]
[ 0, 0.38, 8.43, 0.34 ]
[ 0.02, 0.24, 8.41, 0.34 ]
[ 0, 0.25, 8.42, 0.51 ]
[ 0.02, 0.26, 8.41, 0.32 ]
[ 0, 0.37, 8.43, 0.34 ]
[ 0.01, 0.27, 8.42, 0.44 ]
[ 0.01, 0.25, 8.4, 0.21 ]
[ 0, 0.36, 8.39, 0.22 ]
[ 0, 0.24, 8.4, 0.39 ]
[ 0.02, 0.25, 8.46, 0.24 ]
